supplier_id,supplier_name,category,region,supplier_tier,lead_time_days,contract_status,unit_cost_index,reliability_score,local_supplier_flag
S0107,Delta Shaft Supply,Electrical Spares,Gauteng,transactional,23,probation,94.22,40.61,1
S0108,Mhlabeni Resources,Reagents,KwaZulu-Natal,transactional,29,active,80.44,63.69,0
S0109,Delta Shaft Mining Services,Tyres,North West,core,19,active,105.53,62.65,1
S0110,North Crest Supply,Electrical Spares,Northern Cape,transactional,24,active,93.67,45.65,1
S0111,Rockridge Procure,Grinding Media,Western Cape,core,14,active,105.07,64.94,0
S0112,Mavuno Materials,Electrical Spares,Western Cape,core,19,active,98.45,55.31,0
S0113,Metsi Procure,Safety PPE,Mpumalanga,core,15,active,86.41,76.48,1
S0114,Delta Shaft Resources,Tyres,Mpumalanga,transactional,20,active,94.66,59.79,1
S0115,Oreline Supply,Safety PPE,KwaZulu-Natal,strategic,14,active,105.63,77.96,0
S0116,Kopano Mining Services,Safety PPE,Western Cape,strategic,18,active,107.87,79.8,0
S0117,Rockridge Resources,Explosives,Northern Cape,core,20,under_review,120.71,67.98,1
S0118,Mavuno Procure,Diesel,Gauteng,transactional,24,under_review,86.47,44.53,1
S0119,Kopano Materials,Grinding Media,KwaZulu-Natal,transactional,24,active,89.64,65.44,0
S0120,Kopano Procure,Diesel,Gauteng,transactional,26,active,87.26,70.26,1
